case_id,Sr. No.,State,Hon'ble Members of Parliaments,Constituency,Allocated AMOUNT ( ₹ ),unified_risk_score,unified_risk_level,investigation_priority,evidence_strength,risk_signals,isolation_score,peer_risk,peer_alert,peer_confidence,peer_ratio,peer_deviation_pct,peer_median,peer_group,peer_count,statistical_risk,statistical_alert,robust_z_score,statistical_percentile,effective_statistical_score,financial_risk,investigation_explanation,recommended_action,case_status
MPLADS-CASE-0001,168,Telangana,EATALA RAJENDER,MALKAJGIRI,327477390.86,73.49,HIGH,HIGH,STRONG,ML anomaly + Peer deviation + Financial exposure + Statistical anomaly,96.74094049172726,90.0,HIGH,HIGH,2.2277,122.7737,147000000.0,Telangana_GENERAL,14.0,100.0,HIGH,6.0,100.0,70.0,100.0,"ML anomaly score is 96.74, indicating an unusual allocation pattern relative to the learned data distribution. Allocation is approximately 2.23x the peer-group median, with a 122.77% deviation. Allocated amount is ₹327,477,390.86, placing the record in a high financial-exposure range. Statistical analysis flags the record as HIGH with robust Z-score 6.00 and global percentile 100.00.","Prioritize verification of allocation records, supporting approvals, sanction details, and relevant implementation documentation.",REQUIRES VERIFICATION
MPLADS-CASE-0002,51,Telangana,Arvind Dharmapuri,NIZAMABAD,281396355.11,66.05,HIGH,HIGH,STRONG,ML anomaly + Peer deviation + Financial exposure + Statistical anomaly,89.22957528363119,65.0,HIGH,HIGH,1.9143,91.4261,147000000.0,Telangana_GENERAL,14.0,100.0,HIGH,6.0,99.8155,70.0,100.0,"ML anomaly score is 89.23, indicating an unusual allocation pattern relative to the learned data distribution. Allocation is approximately 1.91x the peer-group median, with a 91.43% deviation. Allocated amount is ₹281,396,355.11, placing the record in a high financial-exposure range. Statistical analysis flags the record as HIGH with robust Z-score 6.00 and global percentile 99.82.","Prioritize verification of allocation records, supporting approvals, sanction details, and relevant implementation documentation.",REQUIRES VERIFICATION
MPLADS-CASE-0003,57,West Bengal,Asit Kumar Mal,BOLPUR(SC),275694456.74,65.46,HIGH,HIGH,STRONG,ML anomaly + Peer deviation + Financial exposure + Statistical anomaly,85.49008260800343,65.0,HIGH,HIGH,1.8755,87.5472,147000000.0,West Bengal_SC,10.0,100.0,HIGH,6.0,99.631,70.0,100.0,"ML anomaly score is 85.49, indicating an unusual allocation pattern relative to the learned data distribution. Allocation is approximately 1.88x the peer-group median, with a 87.55% deviation. Allocated amount is ₹275,694,456.74, placing the record in a high financial-exposure range. Statistical analysis flags the record as HIGH with robust Z-score 6.00 and global percentile 99.63.","Prioritize verification of allocation records, supporting approvals, sanction details, and relevant implementation documentation.",REQUIRES VERIFICATION
MPLADS-CASE-0004,381,Karnataka,Ramesh Chandappa Jigajinagi,BIJAPUR(SC),269500000.0,62.28,HIGH,HIGH,STRONG,ML anomaly + Peer deviation + Financial exposure + Statistical anomaly,80.78736796646953,65.0,HIGH,MEDIUM,1.8333,83.3333,147000000.0,Karnataka_SC,5.0,100.0,HIGH,6.0,99.262,70.0,100.0,"ML anomaly score is 80.79, indicating an unusual allocation pattern relative to the learned data distribution. Allocation is approximately 1.83x the peer-group median, with a 83.33% deviation. Allocated amount is ₹269,500,000.00, placing the record in a high financial-exposure range. Statistical analysis flags the record as HIGH with robust Z-score 6.00 and global percentile 99.26.","Prioritize verification of allocation records, supporting approvals, sanction details, and relevant implementation documentation.",REQUIRES VERIFICATION
MPLADS-CASE-0005,413,Odisha,Saptagiri Sankar Ulaka,KORAPUT(ST),269500000.0,62.28,HIGH,HIGH,STRONG,ML anomaly + Peer deviation + Financial exposure + Statistical anomaly,80.78736796646953,65.0,HIGH,MEDIUM,1.8263,82.6327,147563957.11,Odisha_ST,5.0,100.0,HIGH,6.0,99.262,70.0,100.0,"ML anomaly score is 80.79, indicating an unusual allocation pattern relative to the learned data distribution. Allocation is approximately 1.83x the peer-group median, with a 82.63% deviation. Allocated amount is ₹269,500,000.00, placing the record in a high financial-exposure range. Statistical analysis flags the record as HIGH with robust Z-score 6.00 and global percentile 99.26.","Prioritize verification of allocation records, supporting approvals, sanction details, and relevant implementation documentation.",REQUIRES VERIFICATION
MPLADS-CASE-0006,157,Madhya Pradesh,DR. RAJESH MISHRA,SIDHI,262724510.35,58.6,MEDIUM,WATCHLIST,STRONG,ML anomaly + Peer deviation + Financial exposure + Statistical anomaly,81.98167560318726,65.0,HIGH,HIGH,1.7872,78.7242,147000000.0,Madhya Pradesh_GENERAL,19.0,100.0,HIGH,6.0,98.893,70.0,75.0,"ML anomaly score is 81.98, indicating an unusual allocation pattern relative to the learned data distribution. Allocation is approximately 1.79x the peer-group median, with a 78.72% deviation. Allocated amount is ₹262,724,510.35, placing the record in a high financial-exposure range. Statistical analysis flags the record as HIGH with robust Z-score 6.00 and global percentile 98.89.",Place on monitoring watchlist and verify supporting records if additional evidence emerges.,REQUIRES VERIFICATION
MPLADS-CASE-0007,249,Telangana,KONDA VISHWESHWAR REDDY,CHELVELLA,233721420.96,58.22,MEDIUM,WATCHLIST,STRONG,ML anomaly + Peer deviation + Financial exposure + Statistical anomaly,79.57439162071833,65.0,HIGH,HIGH,1.5899,58.9942,147000000.0,Telangana_GENERAL,14.0,100.0,HIGH,6.0,98.3395,70.0,75.0,"ML anomaly score is 79.57, indicating an unusual allocation pattern relative to the learned data distribution. Allocation is approximately 1.59x the peer-group median, with a 58.99% deviation. Allocated amount is ₹233,721,420.96, placing the record in a high financial-exposure range. Statistical analysis flags the record as HIGH with robust Z-score 6.00 and global percentile 98.34.",Place on monitoring watchlist and verify supporting records if additional evidence emerges.,REQUIRES VERIFICATION
MPLADS-CASE-0008,286,Delhi,Manoj Tiwari,NORTH EAST DELHI,225843858.0,55.4,MEDIUM,WATCHLIST,STRONG,ML anomaly + Peer deviation + Financial exposure + Statistical anomaly,77.1253305854647,65.0,HIGH,MEDIUM,1.531,53.0992,147514688.0,Delhi_GENERAL,6.0,100.0,HIGH,6.0,98.155,70.0,75.0,"ML anomaly score is 77.13, indicating an unusual allocation pattern relative to the learned data distribution. Allocation is approximately 1.53x the peer-group median, with a 53.10% deviation. Allocated amount is ₹225,843,858.00, placing the record in a high financial-exposure range. Statistical analysis flags the record as HIGH with robust Z-score 6.00 and global percentile 98.16.",Place on monitoring watchlist and verify supporting records if additional evidence emerges.,REQUIRES VERIFICATION
MPLADS-CASE-0009,12,Uttar Pradesh,AFZAL ANSARI,GHAZIPUR,220500000.0,51.36,MEDIUM,WATCHLIST,STRONG,ML anomaly + Peer deviation + Financial exposure + Statistical anomaly,75.66717157616826,40.0,MEDIUM,HIGH,1.5,50.0,147000000.0,Uttar Pradesh_GENERAL,63.0,100.0,HIGH,6.0,97.9705,70.0,75.0,"ML anomaly score is 75.67, indicating an unusual allocation pattern relative to the learned data distribution. Allocation is approximately 1.50x the peer-group median, with a 50.00% deviation. Allocated amount is ₹220,500,000.00, placing the record in a high financial-exposure range. Statistical analysis flags the record as HIGH with robust Z-score 6.00 and global percentile 97.97.",Place on monitoring watchlist and verify supporting records if additional evidence emerges.,REQUIRES VERIFICATION
