Sr. No.,State,Hon'ble Members of Parliaments,Constituency,Allocated AMOUNT ( ₹ ),state_clean,mp_clean,constituency_clean,allocated_amount,missing_state,missing_mp,missing_constituency,missing_amount,duplicate_record,extreme_amount,data_quality_score,data_quality_alert,record_type,ml_eligible,amount_numeric,amount_valid,log_amount,amount_percentile,robust_deviation,metadata_missing_count,metadata_risk,isolation_score,isolation_anomaly,statistical_score,percentile_signal,anomaly_score,risk_level,ai_explanation,requires_review,alert_priority,financial_risk,ml_risk,statistical_risk,quality_risk,risk_factors,risk_factors_text,risk_score,final_risk_level,investigation_priority,recommended_action,alert_status,alert_message,risk_rank
196,Sikkim,Indra Hang Subba,SIKKIM,152003923.11,Sikkim,Indra Hang Subba,SIKKIM,152003923.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,152003923.11,True,18.839416894990467,78.96678966789668,0.0,0,0.0,39.01149797222981,False,0.0,0,17.56,LOW,Data-quality validation requires review,False,LOW,25,39.01149797222981,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,22.13,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 22.13/100 | MP: Indra Hang Subba | Constituency: SIKKIM | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,86.0
394,Chhattisgarh,ROOP KUMARI CHOUDHARY,MAHASAMUND,153035414,Chhattisgarh,ROOP KUMARI CHOUDHARY,MAHASAMUND,153035414.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,153035414.0,True,18.846179923159763,79.33579335793358,0.0,0,0.0,38.86047739967777,False,0.0,0,17.49,LOW,Data-quality validation requires review,False,LOW,25,38.86047739967777,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,22.07,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 22.07/100 | MP: ROOP KUMARI CHOUDHARY | Constituency: MAHASAMUND | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,87.0
136,Andhra Pradesh,DR BYREDDY SHABARI,NANDYAL,150675889.11,Andhra Pradesh,DR BYREDDY SHABARI,NANDYAL,150675889.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,150675889.11,True,18.830641664798925,77.30627306273063,0.0,0,0.0,38.8413654313736,False,0.0,0,17.48,LOW,Data-quality validation requires review,False,LOW,25,38.8413654313736,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,22.07,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 22.07/100 | MP: DR BYREDDY SHABARI | Constituency: NANDYAL | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,88.0
483,Maharashtra,Smt Raksha Nikhil Khadse,RAVER,153112586.11,Maharashtra,Smt Raksha Nikhil Khadse,RAVER,153112586.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,153112586.11,True,18.846684072205992,79.70479704797047,0.0,0,0.0,38.86498273801484,False,0.0,0,17.49,LOW,Data-quality validation requires review,False,LOW,25,38.86498273801484,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,22.07,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 22.07/100 | MP: Smt Raksha Nikhil Khadse | Constituency: RAVER | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,89.0
481,Madhya Pradesh,Smt Himadri Singh,SHAHDOL (ST),150724861.11,Madhya Pradesh,Smt Himadri Singh,SHAHDOL (ST),150724861.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,150724861.11,True,18.83096662749441,77.49077490774908,0.0,0,0.0,38.83838904697694,False,0.0,0,17.48,LOW,Data-quality validation requires review,False,LOW,25,38.83838904697694,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,22.07,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 22.07/100 | MP: Smt Himadri Singh | Constituency: SHAHDOL (ST) | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,90.0
257,Telangana,KUNDURU RAGHUVEER,NALGONDA,162952022,Telangana,KUNDURU RAGHUVEER,NALGONDA,162952022.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,162952022.0,True,18.90896637802196,86.53136531365314,0.0,0,0.0,38.824618191057816,False,0.0,0,17.47,LOW,Data-quality validation requires review,False,LOW,25,38.824618191057816,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,22.06,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 22.06/100 | MP: KUNDURU RAGHUVEER | Constituency: NALGONDA | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,91.0
491,Andhra Pradesh,Sribharat MathuKumli,VISAKHAPATNAM,164841922,Andhra Pradesh,Sribharat MathuKumli,VISAKHAPATNAM,164841922.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,164841922.0,True,18.920497530224647,88.00738007380073,0.0,0,0.0,38.79488980659798,False,0.0,0,17.46,LOW,Data-quality validation requires review,False,LOW,25,38.79488980659798,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,22.05,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 22.05/100 | MP: Sribharat MathuKumli | Constituency: VISAKHAPATNAM | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,92.0
124,Bihar,DEVESH CHANDRA THAKUR,SITAMARHI,163809205.11,Bihar,DEVESH CHANDRA THAKUR,SITAMARHI,163809205.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,163809205.11,True,18.914212931161646,86.90036900369003,0.0,0,0.0,38.75102803035018,False,0.0,0,17.44,LOW,Data-quality validation requires review,False,LOW,25,38.75102803035018,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,22.03,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 22.03/100 | MP: DEVESH CHANDRA THAKUR | Constituency: SITAMARHI | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,93.0
414,Punjab,SARABJEET SINGH KHALSA,FARIDKOT(SC),150850348.15,Punjab,SARABJEET SINGH KHALSA,FARIDKOT(SC),150850348.15,False,False,False,False,False,True,85.0,True,MP_RECORD,True,150850348.15,True,18.831798838117543,77.67527675276753,0.0,0,0.0,38.678297708136434,False,0.0,0,17.41,LOW,Data-quality validation requires review,False,LOW,25,38.678297708136434,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,22.01,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 22.01/100 | MP: SARABJEET SINGH KHALSA | Constituency: FARIDKOT(SC) | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,94.0
132,Bihar,Dileshwar Kamait,SUPAUL,150450930.89,Bihar,Dileshwar Kamait,SUPAUL,150450930.89,False,False,False,False,False,True,85.0,True,MP_RECORD,True,150450930.89,True,18.829147555039093,77.12177121771218,0.0,0,0.0,38.63446602927647,False,0.0,0,17.39,LOW,Data-quality validation requires review,False,LOW,25,38.63446602927647,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,21.99,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 21.99/100 | MP: Dileshwar Kamait | Constituency: SUPAUL | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,95.0
98,Gujarat,C R Patil,NAVSARI,158532494.36,Gujarat,C R Patil,NAVSARI,158532494.36,False,False,False,False,False,True,85.0,True,MP_RECORD,True,158532494.36,True,18.881470148312445,82.84132841328413,0.0,0,0.0,38.60933483519133,False,0.0,0,17.37,LOW,Data-quality validation requires review,False,LOW,25,38.60933483519133,0.0,50.0,['Data-quality validation requires review'],Data-quality validation requires review,21.98,LOW,ROUTINE,No immediate action; continue routine monitoring,NO_ALERT,LOW RISK | Score 21.98/100 | MP: C R Patil | Constituency: NAVSARI | Factors: Data-quality validation requires review | Recommended action: No immediate action; continue routine monitoring,96.0
