Sr. No.,State,Hon'ble Members of Parliaments,Constituency,Allocated AMOUNT ( ₹ ),state_clean,mp_clean,constituency_clean,allocated_amount,missing_state,missing_mp,missing_constituency,missing_amount,duplicate_record,extreme_amount,data_quality_score,data_quality_alert,record_type,ml_eligible,amount_numeric,amount_valid,log_amount,amount_percentile,robust_deviation,metadata_missing_count,metadata_risk,isolation_score,isolation_anomaly,statistical_score,percentile_signal,anomaly_score,risk_level,ai_explanation,requires_review,alert_priority
286,Delhi,Manoj Tiwari,NORTH EAST DELHI,225843858,Delhi,Manoj Tiwari,NORTH EAST DELHI,225843858.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,225843858.0,True,19.235354429081976,98.1549815498155,0.0,0,0.0,77.1253305854647,True,0.0,75,45.96,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM
12,Uttar Pradesh,AFZAL ANSARI,GHAZIPUR,220500000,Uttar Pradesh,AFZAL ANSARI,GHAZIPUR,220500000.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,220500000.0,True,19.21140825738632,97.97047970479706,0.0,0,0.0,75.66717157616826,True,0.0,75,45.3,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM
474,West Bengal,SK NURUL ISLAM,BASIRHAT,49000000,West Bengal,SK NURUL ISLAM,BASIRHAT,49000000.0,False,False,False,False,False,False,100.0,False,MP_RECORD,True,49000000.0,True,17.707330876483063,0.18450184501845018,0.0,0,0.0,100.0,True,0.0,0,45.0,MEDIUM,Machine-learning model detected an unusual allocation pattern,False,MEDIUM
523,Puducherry,Vaithilingam Ve,Puducherry,209368972.11,Puducherry,Vaithilingam Ve,Puducherry,209368972.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,209368972.11,True,19.159608674983037,97.7859778597786,0.0,0,0.0,67.40241120863126,True,0.0,75,41.58,MEDIUM,Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM
333,Assam,Pradyut Bordoloi,NOWGONG,98000000,Assam,Pradyut Bordoloi,NOWGONG,98000000.0,False,False,False,False,False,False,100.0,False,MP_RECORD,True,98000000.0,True,18.400478046838927,0.46125461254612543,0.0,0,0.0,86.87493558309586,True,0.0,0,39.09,MEDIUM,Machine-learning model detected an unusual allocation pattern,False,MEDIUM
33,Meghalaya,ANDREW J. SYNGKON,SHILLONG,98000000,Meghalaya,ANDREW J. SYNGKON,SHILLONG,98000000.0,False,False,False,False,False,False,100.0,False,MP_RECORD,True,98000000.0,True,18.400478046838927,0.46125461254612543,0.0,0,0.0,86.87493558309586,True,0.0,0,39.09,MEDIUM,Machine-learning model detected an unusual allocation pattern,False,MEDIUM
375,Uttar Pradesh,RAM PRASAD CHAUDHARY,BASTI,204176957.11,Uttar Pradesh,RAM PRASAD CHAUDHARY,BASTI,204176957.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,204176957.11,True,19.13449761751404,97.60147601476015,0.0,0,0.0,60.470890799101795,True,0.0,75,38.46,MEDIUM,Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM
240,West Bengal,KARTICK CHANDRA PAUL,RAIGANJ,202677986.56,West Bengal,KARTICK CHANDRA PAUL,RAIGANJ,202677986.56,False,False,False,False,False,True,85.0,True,MP_RECORD,True,202677986.56,True,19.12712900937329,97.41697416974169,0.0,0,0.0,56.61676125233682,False,0.0,75,36.73,MEDIUM,Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM
99,Andhra Pradesh,C.M.RAMESH,ANAKAPALLE,202531656.11,Andhra Pradesh,C.M.RAMESH,ANAKAPALLE,202531656.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,202531656.11,True,19.126406763699794,97.23247232472325,0.0,0,0.0,56.437859836522996,False,0.0,75,36.65,MEDIUM,Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM
508,Andhra Pradesh,TANGELLA UDAY SRINIVAS,KAKINADA,199417886.76,Andhra Pradesh,TANGELLA UDAY SRINIVAS,KAKINADA,199417886.76,False,False,False,False,False,True,85.0,True,MP_RECORD,True,199417886.76,True,19.11091311939227,96.49446494464945,0.0,0,0.0,55.657596723437265,False,0.0,75,36.3,MEDIUM,Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM
445,West Bengal,Shri Deepak (Dev) Adhikari,GHATAL,200747364,West Bengal,Shri Deepak (Dev) Adhikari,GHATAL,200747364.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,200747364.0,True,19.11755778492667,96.6789667896679,0.0,0,0.0,55.44842513002043,False,0.0,75,36.2,MEDIUM,Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM
