Sr. No.,State,Hon'ble Members of Parliaments,Constituency,Allocated AMOUNT ( ₹ ),state_clean,mp_clean,constituency_clean,allocated_amount,missing_state,missing_mp,missing_constituency,missing_amount,duplicate_record,extreme_amount,data_quality_score,data_quality_alert,record_type,ml_eligible,amount_numeric,amount_valid,log_amount,amount_percentile,robust_deviation,metadata_missing_count,metadata_risk,isolation_score,isolation_anomaly,statistical_score,percentile_signal,anomaly_score,risk_level,ai_explanation,requires_review,alert_priority,statistical_risk,statistical_alert,robust_z_score,statistical_percentile,peer_risk,peer_alert,peer_confidence,peer_ratio,peer_deviation_pct,peer_median,peer_group,peer_count,ml_risk,financial_risk,peer_confidence_multiplier,adjusted_peer_risk,statistical_multiplier,adjusted_statistical_risk,quality_risk,unified_risk_score,unified_risk_level,investigation_priority,risk_signals,unified_explanation,recommended_action,alert_status,risk_rank,ml_component_score,peer_component_score,financial_component_score,statistical_component_score,quality_component_score
224,The Dadra And Nagar Haveli And Daman And Diu,Kalaben Mohanbhai Delkar,DADRA & NAGAR HAVELI (ST),269500000,The Dadra And Nagar Haveli And Daman And Diu,Kalaben Mohanbhai Delkar,DADRA & NAGAR HAVELI (ST),269500000.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,269500000.0,True,19.4120789520239,99.2619926199262,0.0,0,0.0,80.78736796646953,True,0.0,100,51.35,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,100.0,HIGH,6.0,99.262,0.0,NORMAL,INSUFFICIENT,1.0,0.0,269500000.0,The Dadra And Nagar Haveli And Daman And Diu_ST,1.0,51.35,100.0,0.0,0.0,0.7,70.0,0.0,48.47,MEDIUM,MONITOR,"['moderate ML anomaly signal', 'allocation is in the top 5% financially', 'strong statistical anomaly signal']","MEDIUM risk candidate: allocation of ₹269,500,000.00 shows moderate ML anomaly signal, allocation is in the top 5% financially, strong statistical anomaly signal. Multiple independent intelligence signals were combined to prioritize this record for verification. This is an anomaly candidate and does not by itself indicate fraud.",Monitor record and verify supporting documentation during the next review cycle.,MONITORING_ALERT,11,51.35,0.0,100.0,70.0,0.0
240,West Bengal,KARTICK CHANDRA PAUL,RAIGANJ,202677986.56,West Bengal,KARTICK CHANDRA PAUL,RAIGANJ,202677986.56,False,False,False,False,False,True,85.0,True,MP_RECORD,True,202677986.56,True,19.12712900937329,97.41697416974168,0.0,0,0.0,56.61676125233682,False,0.0,75,36.73,MEDIUM,Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,100.0,HIGH,6.0,97.417,40.0,MEDIUM,HIGH,1.3788,37.8762,147000000.0,West Bengal_GENERAL,30.0,36.73,75.0,1.0,40.0,0.7,70.0,0.0,48.36,MEDIUM,MONITOR,"['moderate ML anomaly signal', 'peer-group deviation', 'allocation is in the top 5% financially', 'strong statistical anomaly signal']","MEDIUM risk candidate: allocation of ₹202,677,986.56 shows moderate ML anomaly signal, peer-group deviation, allocation is in the top 5% financially, strong statistical anomaly signal. Multiple independent intelligence signals were combined to prioritize this record for verification. This is an anomaly candidate and does not by itself indicate fraud.",Monitor record and verify supporting documentation during the next review cycle.,MONITORING_ALERT,12,36.73,40.0,75.0,70.0,0.0
99,Andhra Pradesh,C.M.RAMESH,ANAKAPALLE,202531656.11,Andhra Pradesh,C.M.RAMESH,ANAKAPALLE,202531656.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,202531656.11,True,19.126406763699794,97.23247232472325,0.0,0,0.0,56.437859836523,False,0.0,75,36.65,MEDIUM,Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,100.0,HIGH,6.0,97.2325,40.0,MEDIUM,HIGH,1.2669,26.6899,159864032.49,Andhra Pradesh_GENERAL,21.0,36.65,75.0,1.0,40.0,0.7,70.0,0.0,48.33,MEDIUM,MONITOR,"['moderate ML anomaly signal', 'peer-group deviation', 'allocation is in the top 5% financially', 'strong statistical anomaly signal']","MEDIUM risk candidate: allocation of ₹202,531,656.11 shows moderate ML anomaly signal, peer-group deviation, allocation is in the top 5% financially, strong statistical anomaly signal. Multiple independent intelligence signals were combined to prioritize this record for verification. This is an anomaly candidate and does not by itself indicate fraud.",Monitor record and verify supporting documentation during the next review cycle.,MONITORING_ALERT,13,36.65,40.0,75.0,70.0,0.0
445,West Bengal,Shri Deepak (Dev) Adhikari,GHATAL,200747364,West Bengal,Shri Deepak (Dev) Adhikari,GHATAL,200747364.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,200747364.0,True,19.11755778492667,96.6789667896679,0.0,0,0.0,55.44842513002043,False,0.0,75,36.2,MEDIUM,Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,100.0,HIGH,6.0,96.679,40.0,MEDIUM,HIGH,1.3656,36.5628,147000000.0,West Bengal_GENERAL,30.0,36.2,75.0,1.0,40.0,0.7,70.0,0.0,48.17,MEDIUM,MONITOR,"['moderate ML anomaly signal', 'peer-group deviation', 'allocation is in the top 5% financially', 'strong statistical anomaly signal']","MEDIUM risk candidate: allocation of ₹200,747,364.00 shows moderate ML anomaly signal, peer-group deviation, allocation is in the top 5% financially, strong statistical anomaly signal. Multiple independent intelligence signals were combined to prioritize this record for verification. This is an anomaly candidate and does not by itself indicate fraud.",Monitor record and verify supporting documentation during the next review cycle.,MONITORING_ALERT,14,36.2,40.0,75.0,70.0,0.0
25,Andhra Pradesh,AMBICA G LAKSHMINARAYANA VALMIKI,ANANTAPUR,201899064.11,Andhra Pradesh,AMBICA G LAKSHMINARAYANA VALMIKI,ANANTAPUR,201899064.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,201899064.11,True,19.12327845281172,97.0479704797048,0.0,0,0.0,55.37049433725655,False,0.0,75,36.17,MEDIUM,Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,100.0,HIGH,6.0,97.048,40.0,MEDIUM,HIGH,1.2629,26.2942,159864032.49,Andhra Pradesh_GENERAL,21.0,36.17,75.0,1.0,40.0,0.7,70.0,0.0,48.16,MEDIUM,MONITOR,"['moderate ML anomaly signal', 'peer-group deviation', 'allocation is in the top 5% financially', 'strong statistical anomaly signal']","MEDIUM risk candidate: allocation of ₹201,899,064.11 shows moderate ML anomaly signal, peer-group deviation, allocation is in the top 5% financially, strong statistical anomaly signal. Multiple independent intelligence signals were combined to prioritize this record for verification. This is an anomaly candidate and does not by itself indicate fraud.",Monitor record and verify supporting documentation during the next review cycle.,MONITORING_ALERT,15,36.17,40.0,75.0,70.0,0.0
274,Tamil Nadu,MALAIYARASAN D,KALLAKURICHI,201599593,Tamil Nadu,MALAIYARASAN D,KALLAKURICHI,201599593.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,201599593.0,True,19.12179408027057,96.86346863468634,0.0,0,0.0,55.258467821735046,False,0.0,75,36.12,MEDIUM,Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,100.0,HIGH,6.0,96.8635,40.0,MEDIUM,HIGH,1.3699,36.9877,147166157.555,Tamil Nadu_GENERAL,32.0,36.12,75.0,1.0,40.0,0.7,70.0,0.0,48.14,MEDIUM,MONITOR,"['moderate ML anomaly signal', 'peer-group deviation', 'allocation is in the top 5% financially', 'strong statistical anomaly signal']","MEDIUM risk candidate: allocation of ₹201,599,593.00 shows moderate ML anomaly signal, peer-group deviation, allocation is in the top 5% financially, strong statistical anomaly signal. Multiple independent intelligence signals were combined to prioritize this record for verification. This is an anomaly candidate and does not by itself indicate fraud.",Monitor record and verify supporting documentation during the next review cycle.,MONITORING_ALERT,16,36.12,40.0,75.0,70.0,0.0
294,Maharashtra,MOHITE PATIL DHAIRYASHEEL RAJSINH,MADHA,195613601.7,Maharashtra,MOHITE PATIL DHAIRYASHEEL RAJSINH,MADHA,195613601.7,False,False,False,False,False,True,85.0,True,MP_RECORD,True,195613601.7,True,19.09165185660299,95.75645756457564,0.0,0,0.0,54.7736447207662,False,0.0,75,35.9,MEDIUM,Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,100.0,HIGH,6.0,95.7565,40.0,MEDIUM,HIGH,1.3307,33.0705,147000000.0,Maharashtra_GENERAL,39.0,35.9,75.0,1.0,40.0,0.7,70.0,0.0,48.06,MEDIUM,MONITOR,"['moderate ML anomaly signal', 'peer-group deviation', 'allocation is in the top 5% financially', 'strong statistical anomaly signal']","MEDIUM risk candidate: allocation of ₹195,613,601.70 shows moderate ML anomaly signal, peer-group deviation, allocation is in the top 5% financially, strong statistical anomaly signal. Multiple independent intelligence signals were combined to prioritize this record for verification. This is an anomaly candidate and does not by itself indicate fraud.",Monitor record and verify supporting documentation during the next review cycle.,MONITORING_ALERT,17,35.9,40.0,75.0,70.0,0.0
478,Uttar Pradesh,Smt Dimple Yadav,MAINPURI,192042469.11,Uttar Pradesh,Smt Dimple Yadav,MAINPURI,192042469.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,192042469.11,True,19.07322710402086,95.38745387453874,0.0,0,0.0,54.60624457292877,False,0.0,75,35.82,MEDIUM,Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,100.0,HIGH,6.0,95.3875,40.0,MEDIUM,HIGH,1.3064,30.6411,147000000.0,Uttar Pradesh_GENERAL,63.0,35.82,75.0,1.0,40.0,0.7,70.0,0.0,48.04,MEDIUM,MONITOR,"['moderate ML anomaly signal', 'peer-group deviation', 'allocation is in the top 5% financially', 'strong statistical anomaly signal']","MEDIUM risk candidate: allocation of ₹192,042,469.11 shows moderate ML anomaly signal, peer-group deviation, allocation is in the top 5% financially, strong statistical anomaly signal. Multiple independent intelligence signals were combined to prioritize this record for verification. This is an anomaly candidate and does not by itself indicate fraud.",Monitor record and verify supporting documentation during the next review cycle.,MONITORING_ALERT,18,35.82,40.0,75.0,70.0,0.0
511,Tamil Nadu,Thalikkottai Rajuthevar Baalu,SRIPERUMBUDUR,196905535.11,Tamil Nadu,Thalikkottai Rajuthevar Baalu,SRIPERUMBUDUR,196905535.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,196905535.11,True,19.098234659567577,95.9409594095941,0.0,0,0.0,54.02479295981857,False,0.0,75,35.56,MEDIUM,Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,100.0,HIGH,6.0,95.941,40.0,MEDIUM,HIGH,1.338,33.7981,147166157.555,Tamil Nadu_GENERAL,32.0,35.56,75.0,1.0,40.0,0.7,70.0,0.0,47.95,MEDIUM,MONITOR,"['moderate ML anomaly signal', 'peer-group deviation', 'allocation is in the top 5% financially', 'strong statistical anomaly signal']","MEDIUM risk candidate: allocation of ₹196,905,535.11 shows moderate ML anomaly signal, peer-group deviation, allocation is in the top 5% financially, strong statistical anomaly signal. Multiple independent intelligence signals were combined to prioritize this record for verification. This is an anomaly candidate and does not by itself indicate fraud.",Monitor record and verify supporting documentation during the next review cycle.,MONITORING_ALERT,19,35.56,40.0,75.0,70.0,0.0
496,Odisha,SUKANTA KUMAR PANIGRAHI,KANDHAMAL,190712424.11,Odisha,SUKANTA KUMAR PANIGRAHI,KANDHAMAL,190712424.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,190712424.11,True,19.066277223718192,95.20295202952028,0.0,0,0.0,53.26955685717726,False,0.0,75,35.22,MEDIUM,Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,100.0,HIGH,6.0,95.203,40.0,MEDIUM,HIGH,1.2974,29.7363,147000000.0,Odisha_GENERAL,13.0,35.22,75.0,1.0,40.0,0.7,70.0,0.0,47.83,MEDIUM,MONITOR,"['moderate ML anomaly signal', 'peer-group deviation', 'allocation is in the top 5% financially', 'strong statistical anomaly signal']","MEDIUM risk candidate: allocation of ₹190,712,424.11 shows moderate ML anomaly signal, peer-group deviation, allocation is in the top 5% financially, strong statistical anomaly signal. Multiple independent intelligence signals were combined to prioritize this record for verification. This is an anomaly candidate and does not by itself indicate fraud.",Monitor record and verify supporting documentation during the next review cycle.,MONITORING_ALERT,20,35.22,40.0,75.0,70.0,0.0
