Sr. No.,State,Hon'ble Members of Parliaments,Constituency,Allocated AMOUNT ( ₹ ),state_clean,mp_clean,constituency_clean,allocated_amount,missing_state,missing_mp,missing_constituency,missing_amount,duplicate_record,extreme_amount,data_quality_score,data_quality_alert,record_type,ml_eligible,amount_numeric,amount_valid,log_amount,amount_percentile,robust_deviation,metadata_missing_count,metadata_risk,isolation_score,isolation_anomaly,statistical_score,percentile_signal,anomaly_score,risk_level,ai_explanation,requires_review,alert_priority,robust_z_score,standard_z_score,global_percentile,iqr_upper_fence,iqr_outlier,statistical_alert_level,deviation_category,statistical_explanation
286,Delhi,Manoj Tiwari,NORTH EAST DELHI,225843858,Delhi,Manoj Tiwari,NORTH EAST DELHI,225843858.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,225843858.0,True,19.2354,98.1549815498155,0.0,0,0.0,77.1253305854647,True,100.0,75,45.96,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,6.0,3.8058,98.155,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹225,843,858.00 was flagged because extreme statistical deviation (robust z-score 6.00); allocation is within the top 5% of observed values; allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
12,Uttar Pradesh,AFZAL ANSARI,GHAZIPUR,220500000,Uttar Pradesh,AFZAL ANSARI,GHAZIPUR,220500000.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,220500000.0,True,19.2114,97.97047970479706,0.0,0,0.0,75.66717157616826,True,100.0,75,45.3,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,6.0,3.5714,97.9705,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹220,500,000.00 was flagged because extreme statistical deviation (robust z-score 6.00); allocation is within the top 5% of observed values; allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
474,West Bengal,SK NURUL ISLAM,BASIRHAT,49000000,West Bengal,SK NURUL ISLAM,BASIRHAT,49000000.0,False,False,False,False,False,False,100.0,False,MP_RECORD,True,49000000.0,True,17.7073,0.1845018450184501,0.0,0,0.0,100.0,True,0.0,0,45.0,MEDIUM,Machine-learning model detected an unusual allocation pattern,False,MEDIUM,0.0,-0.3973,0.1845,150186650.9,False,NORMAL,NORMAL,Allocation is within the normal statistical range of the dataset.
523,Puducherry,Vaithilingam Ve,Puducherry,209368972.11,Puducherry,Vaithilingam Ve,Puducherry,209368972.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,209368972.11,True,19.1596,97.7859778597786,0.0,0,0.0,67.40241120863126,True,100.0,75,41.58,MEDIUM,Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,6.0,3.0644,97.786,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹209,368,972.11 was flagged because extreme statistical deviation (robust z-score 6.00); allocation is within the top 5% of observed values; allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
333,Assam,Pradyut Bordoloi,NOWGONG,98000000,Assam,Pradyut Bordoloi,NOWGONG,98000000.0,False,False,False,False,False,False,100.0,False,MP_RECORD,True,98000000.0,True,18.4005,0.4612546125461254,0.0,0,0.0,86.87493558309586,True,0.0,0,39.09,MEDIUM,Machine-learning model detected an unusual allocation pattern,False,MEDIUM,0.0,-0.3973,0.4613,150186650.9,False,NORMAL,NORMAL,Allocation is within the normal statistical range of the dataset.
33,Meghalaya,ANDREW J. SYNGKON,SHILLONG,98000000,Meghalaya,ANDREW J. SYNGKON,SHILLONG,98000000.0,False,False,False,False,False,False,100.0,False,MP_RECORD,True,98000000.0,True,18.4005,0.4612546125461254,0.0,0,0.0,86.87493558309586,True,0.0,0,39.09,MEDIUM,Machine-learning model detected an unusual allocation pattern,False,MEDIUM,0.0,-0.3973,0.4613,150186650.9,False,NORMAL,NORMAL,Allocation is within the normal statistical range of the dataset.
375,Uttar Pradesh,RAM PRASAD CHAUDHARY,BASTI,204176957.11,Uttar Pradesh,RAM PRASAD CHAUDHARY,BASTI,204176957.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,204176957.11,True,19.1345,97.60147601476017,0.0,0,0.0,60.4708907991018,True,100.0,75,38.46,MEDIUM,Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,6.0,2.8186,97.6015,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹204,176,957.11 was flagged because extreme statistical deviation (robust z-score 6.00); allocation is within the top 5% of observed values; allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
240,West Bengal,KARTICK CHANDRA PAUL,RAIGANJ,202677986.56,West Bengal,KARTICK CHANDRA PAUL,RAIGANJ,202677986.56,False,False,False,False,False,True,85.0,True,MP_RECORD,True,202677986.56,True,19.1271,97.41697416974168,0.0,0,0.0,56.61676125233682,False,100.0,75,36.73,MEDIUM,Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,6.0,2.7465,97.417,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹202,677,986.56 was flagged because extreme statistical deviation (robust z-score 6.00); allocation is within the top 5% of observed values; allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
99,Andhra Pradesh,C.M.RAMESH,ANAKAPALLE,202531656.11,Andhra Pradesh,C.M.RAMESH,ANAKAPALLE,202531656.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,202531656.11,True,19.1264,97.23247232472325,0.0,0,0.0,56.437859836523,False,100.0,75,36.65,MEDIUM,Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,6.0,2.7394,97.2325,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹202,531,656.11 was flagged because extreme statistical deviation (robust z-score 6.00); allocation is within the top 5% of observed values; allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
508,Andhra Pradesh,TANGELLA UDAY SRINIVAS,KAKINADA,199417886.76,Andhra Pradesh,TANGELLA UDAY SRINIVAS,KAKINADA,199417886.76,False,False,False,False,False,True,85.0,True,MP_RECORD,True,199417886.76,True,19.1109,96.49446494464944,0.0,0,0.0,55.65759672343727,False,100.0,75,36.3,MEDIUM,Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,6.0,2.5878,96.4945,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹199,417,886.76 was flagged because extreme statistical deviation (robust z-score 6.00); allocation is within the top 5% of observed values; allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
